contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,underlying,spot
AAPL260828P00265000,2026-07-31 19:57:59+00:00,265.0,0.56,0.44,0.63,0.18,47.368423,355.0,51,0.35156898437499995,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00270000,2026-07-31 19:59:32+00:00,270.0,0.74,0.62,0.8,0.26000002,54.166676,1167.0,231,0.33399103515625,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00275000,2026-07-31 19:57:44+00:00,275.0,0.94,0.87,1.12,0.36,62.06897,1033.0,309,0.32398136962890617,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00280000,2026-07-31 19:59:23+00:00,280.0,1.31,1.2,1.45,0.54999995,72.368416,2435.0,385,0.3073799731445312,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00285000,2026-07-31 19:59:50+00:00,285.0,1.81,1.68,2.1,0.85999995,90.52631,1128.0,244,0.301764794921875,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00290000,2026-07-31 19:59:56+00:00,290.0,2.7,2.41,2.9,1.5500001,134.78261,671.0,369,0.29291478576660146,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00295000,2026-07-31 19:59:56+00:00,295.0,3.8,3.4,4.1,2.34,160.27396,1757.0,301,0.2893137475585937,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00300000,2026-07-31 19:58:14+00:00,300.0,5.0,4.55,5.35,3.1,163.1579,1689.0,2194,0.2761913201904296,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00305000,2026-07-31 19:54:15+00:00,305.0,7.11,6.6,7.25,4.51,173.46156,305.0,475,0.27246821289062495,False,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00310000,2026-07-31 19:44:12+00:00,310.0,10.57,8.9,9.6,7.3199997,225.23076,525.0,1493,0.26947752014160153,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
AAPL260828P00315000,2026-07-31 19:58:17+00:00,315.0,11.63,11.25,12.55,7.13,158.44446,189.0,612,0.27149166015625,True,REGULAR,USD,put,2026-08-28,AAPL,308.9100036621094
